Rainfall,Slope,Slope/Rainfall,Flood Intensity
1.536641092,221.776418,144.3254506,1
1.561918624,231.4493909,148.1827461,1
1.81739053,223.4048024,122.9261398,1
1.664634055,224.7062846,134.9883982,1
1.402819264,212.4573536,151.4502681,1
1.486191263,206.9742457,139.2648785,1
1.427767424,211.7015707,148.2745488,1
22.70820287,198.0993108,8.723689494,1
1.843975632,223.5978977,121.2585968,1
0.915585266,220.3899673,240.7093861,1
1.419923385,206.5256639,145.4484559,1
0.912069691,232.4506949,254.8606727,1
2.193341182,204.5454337,93.25746284,2
2.414341613,230.0552497,95.28695048,2
1.82736781,209.5309078,114.6626895,2
2.078156147,230.3878265,110.8616534,2
1.970236176,213.3693195,108.2963159,2
2.400971002,232.8113729,96.96550802,2
2.529609054,203.5966686,80.48542848,2
3.264200259,204.908485,62.77448341,3
2.786657313,199.31884,71.52613963,3
3.657149178,215.8815618,59.03001253,3
3.091335293,215.1246462,69.58955461,3
2.572726816,203.6142285,79.14335374,3
2.958924382,220.641593,74.56817564,3
3.569035617,213.5065721,59.82192249,3
3.272399283,201.8469299,61.68163248,3
2.763594657,209.6046346,75.84492685,3
3.277674731,229.9243622,70.14862091,3
3.041786095,227.4189893,74.7649513,3
2.970683205,217.0423455,73.06142408,3
3.782540313,209.4928267,55.38416232,3
6.459528982,203.3128597,31.47487382,4
7.220084763,223.1666078,30.90913958,4
5.554329098,220.1598672,39.63752657,4
4.696563907,203.7533024,43.38348341,4
6.996814731,231.86718,33.13896236,4
6.656840408,219.3038929,32.94414159,4
4.520183885,222.5975915,49.24525133,4
5.742972231,221.6465245,38.59439252,4
5.398988423,205.3730353,38.03916942,4
3.926358548,213.710114,54.42959714,4
6.703830498,219.6144362,32.75954491,4
4.39959464,199.8572895,45.42629626,4
4.826408945,212.7586734,44.08218944,4
6.129753114,228.6897198,37.3081453,4
6.834423473,205.2514598,30.03200791,4
6.632940611,232.0448572,34.98370795,4
3.813691966,199.8227459,52.39614202,4
4.325763685,206.4893734,47.73477898,4
6.022697166,230.2247406,38.22618575,4
6.295582904,213.9579242,33.98540333,4
4.566411978,209.2162541,45.81633351,4
4.421039696,222.0978461,50.23656456,4
5.292011167,224.4629647,42.41543671,4
7.366598697,216.3348876,29.36699778,5
8.340648201,220.5638514,26.44444965,5
7.681912865,202.7583574,26.39425374,5
7.457819688,217.2471517,29.13011587,5
8.855430931,215.0546321,24.28505556,5
8.771408202,217.0635088,24.74671157,5
8.044677426,213.1173162,26.49171681,5
8.811261763,221.6317375,25.15323497,5
8.721669314,214.845592,24.63354024,5
7.602630636,206.3810159,27.14600061,5
8.768485658,222.2964868,25.35175348,5
7.02939767,209.1531548,29.75406495,5
7.632053594,208.166527,27.27529681,5
9.498535314,228.5984489,24.06670516,5
8.40210928,203.4068672,24.20902423,5
7.060058339,201.9834357,28.60931539,5
7.531688661,198.625701,26.37200102,5
9.287867588,227.2655236,24.46907446,5
9.397162871,216.7208578,23.06237114,6
11.03047688,225.2457159,20.42030624,6
11.07898962,219.6753468,19.82810295,6
9.953442167,199.8348414,20.0769581,6
9.299553357,207.1606964,22.27641354,6
11.0186177,226.7446814,20.57832366,6
8.851830312,211.3790469,23.87969939,6
10.44135752,224.2548876,21.47756047,6
10.70240218,206.3997985,19.28537118,6
11.26539681,208.1641808,18.47819338,6
9.671949245,220.1670909,22.76346632,6
11.29659758,206.0412866,18.239234,6
10.33410391,206.9618943,20.02707696,6
9.516834196,200.5299802,21.07108058,6
9.968636458,214.0710865,21.47446016,6
11.08041401,214.1303542,19.32512214,6
12.03874973,206.3997362,17.14461559,6
10.73263423,206.0938144,19.20253778,6
10.85521988,215.2183012,19.82624981,6
9.081724531,216.6575454,23.85643219,6
11.79410784,208.1748611,17.65075104,6
10.05818645,222.4223532,22.11356434,6
10.18014831,204.5975875,20.09770204,6
9.633273425,204.673491,21.24651528,6
10.39608884,222.332024,21.38612197,6
9.918268475,212.1525519,21.39007957,6
9.547236369,201.0711473,21.06066505,6
12.48013115,221.2116095,17.72510295,6
11.65159513,199.9796759,17.16328741,6
9.40816803,205.9049795,21.88576765,6
11.72952563,209.762174,17.8832615,6
10.71348103,205.2463356,19.15776348,6
10.91436829,222.4579625,20.38211984,6
10.41637603,228.1394995,21.90200306,6
12.17022126,227.2340939,18.67131987,6
8.912693255,206.8177093,23.20484991,6
11.23245221,223.414875,19.89012469,6
8.800379909,206.9081371,23.51127329,6
13.36285704,218.1872975,16.32789282,7
13.77783918,202.2799589,14.6815445,7
13.90411328,203.5912348,14.64251842,7
15.57193674,223.2609095,14.33738868,7
15.88347152,215.766888,13.58436585,7
13.11983047,217.5251333,16.57987378,7
13.26856446,211.9537096,15.97412518,7
14.30246074,227.1546157,15.88220515,7
14.34448955,198.9852212,13.87189279,7
12.61096942,202.7638989,16.07837528,7
15.18971505,230.1695869,15.15298912,7
16.94901322,226.7924025,13.38086174,7
17.09080216,223.6560367,13.08633934,7
15.71287326,214.2156352,13.63312945,7
13.93306842,199.7365653,14.33543274,7
14.85110682,200.1380309,13.47630404,7
13.12965812,211.268441,16.09093238,7
14.49502325,199.8330185,13.78631928,7
17.04335501,223.701599,13.12544384,7
14.3528014,222.1292089,15.47636609,7
15.91674832,227.5034623,14.29333792,7
15.8352616,222.62275,14.05867208,7
14.29248875,208.2455627,14.57027998,7
14.57239303,228.1734929,15.65792883,7
13.85522124,211.3822159,15.25650239,7
15.61375346,229.7494754,14.71455765,7
14.51438643,232.7857683,16.03827825,7
13.84444232,201.0195617,14.51987426,7
14.01576464,228.767774,16.32217577,7
13.05253475,201.9878206,15.47498816,7
15.40081603,203.8780043,13.23812998,7
15.53703397,202.822024,13.05410186,7
14.65084941,227.7047132,15.5420827,7
15.53391991,206.6402805,13.30252001,7
14.16926205,221.0014399,15.59724417,7
15.79942163,225.6330095,14.28109299,7
14.31329405,206.9747206,14.4603136,7
15.15295573,223.6951701,14.76247764,7
15.63494224,226.8440866,14.50878956,7
19.21698034,229.5242142,11.94382313,8
18.02020759,227.2808524,12.61255462,8
16.82093424,204.1896001,12.13901661,8
16.77335708,215.2739076,12.8342768,8
16.29232511,201.6703815,12.37824437,8
17.82159117,216.7711142,12.16339843,8
17.31979471,210.0288879,12.12652294,8
19.87881812,231.9237624,11.66687883,8
17.40462779,212.7313809,12.22269063,8
18.65587031,226.6997219,12.15165619,8
16.24442482,207.7650982,12.78993258,8
16.12979673,206.0241026,12.77288896,8
17.3158725,201.594856,11.6422003,8
15.3965297,198.2111093,12.87375228,8
18.96211019,203.5947436,10.7369244,9
19.12191646,207.1840791,10.83490138,9
19.4511192,205.6539913,10.5728616,9
18.45417936,211.6952366,11.47139802,9
17.99936429,205.6434107,11.42503742,9
18.62138894,204.4186758,10.97762774,9
21.86419089,225.8854182,10.33129556,9
21.14814719,215.0191521,10.16728086,9
20.52813584,203.3579183,9.906302253,9
20.29804519,207.06451,10.2012045,9
21.66451158,226.0091444,10.43222893,9
17.83712633,198.7696521,11.14359165,9
22.48171409,222.236869,9.885227974,9
19.02323665,201.4272547,10.58848494,9
20.31043993,218.659239,10.76585439,9
19.87425576,216.6523436,10.90115505,9
22.49336239,222.1327681,9.875480786,9
18.38064519,206.9228741,11.2576502,9
19.79613972,223.4644287,11.28828306,9
20.73308635,205.8632158,9.929212288,9
18.18724241,199.6356635,10.97668679,9
22.74595378,223.4012586,9.821582368,9
21.94195542,226.11933,10.30534087,9
20.85344691,216.1808294,10.36667129,9
22.44793263,230.4422118,10.26563184,9
23.1048459,230.6975306,9.984811481,9
22.04755401,202.3133393,9.176226041,10
20.92827743,201.5993327,9.632867939,10
22.86712533,210.941167,9.224647347,10
22.42783339,211.7154755,9.439854125,10
23.69057469,231.6385862,9.777668512,10
21.7709543,210.7726932,9.681371348,10
22.43206906,218.4764443,9.739469136,10
23.44279484,229.6451457,9.795979842,10
21.55979677,207.6766907,9.632590368,10
20.8738626,200.8474398,9.621958502,10
